dataset,DOI,AuthorYear,Publication.Year,globalCitationsCount,location,SDG_theme,classification_type,model_group,ancillary,indices,RS_device_type,RS_devices,RS_device_group,RS_spectral_bands_no,RS_spatital_resolution_m,Confusion_matrix,OA_reported,number_classes,fraction_majority_class,total,no_band_group,RS_spatital_res_grouped,esid,event
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,39,Afghanistan,SDG11: Sustainable Cities,Pixel-level,Tree-Based Models,Ancillary Data Included,Used,Not Reported,satellite,Not Reported,Not Reported,20,Reported,0.855,2,0.665,59643,Not Reported,10-30 metres,2,50994.765
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,39,Afghanistan,SDG11: Sustainable Cities,Pixel-level,Tree-Based Models,Ancillary Data Included,Used,Not Reported,satellite,Not Reported,Not Reported,20,Reported,0.796,2,0.613,82606,Not Reported,10-30 metres,3,65754.376
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,39,Afghanistan,SDG11: Sustainable Cities,Pixel-level,Tree-Based Models,Ancillary Data Included,Used,Not Reported,satellite,Not Reported,Not Reported,20,Reported,0.82,2,0.717,427796,Not Reported,10-30 metres,4,350792.72
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,39,Afghanistan,SDG11: Sustainable Cities,Pixel-level,Tree-Based Models,Ancillary Data Included,Used,Not Reported,satellite,Not Reported,Not Reported,20,Reported,0.776,2,0.543,92248,Not Reported,10-30 metres,5,71584.448
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,39,Afghanistan,SDG11: Sustainable Cities,Pixel-level,Tree-Based Models,Ancillary Data Included,Used,Not Reported,satellite,Not Reported,Not Reported,20,Reported,0.899,2,0.859,34740,Not Reported,10-30 metres,6,31231.26
nina_2024,10.1016/j.compenvurbsys.2018.01.004,Jochem et al. 2018,2018,39,Afghanistan,SDG11: Sustainable Cities,Pixel-level,Tree-Based Models,Ancillary Data Included,Used,Not Reported,satellite,Not Reported,Not Reported,20,Reported,0.903,2,0.614,54162,Not Reported,10-30 metres,7,48908.286
nina_2024,10.1016/j.egyr.2022.03.039,Xia et al. 2022,2022,38,China,SDG11: Sustainable Cities,Object-level,Tree-Based Models,Remote Sensing Only,Used,Passive,satellite,Landsat,7,30,Reported,0.918,2,0.5,400,Mid,10-30 metres,1,367.2
nina_2024,10.1016/j.egyr.2022.03.039,Xia et al. 2022,2022,38,China,SDG11: Sustainable Cities,Object-level,Tree-Based Models,Remote Sensing Only,Used,Passive,satellite,Landsat,7,30,Reported,0.928,2,0.5,400,Mid,10-30 metres,2,371.2
nina_2024,10.1016/j.jag.2022.102804,Li et al. 2022,2022,9,Germany,SDG15: Life on Land,Object-level,Neural Networks,Remote Sensing Only,Not Used,Passive,satellite,Sentinel,10,10,Not Reported,0.73,12,0.141666667,1200,Mid,10-30 metres,1,876
nina_2024,10.1016/j.jag.2022.102804,Li et al. 2022,2022,9,Germany,SDG15: Life on Land,Object-level,Neural Networks,Ancillary Data Included,Not Used,Passive,satellite,Sentinel,10,10,Not Reported,0.7483,12,0.141666667,1200,Mid,10-30 metres,2,897.96
