"","effectsizeID","AuthorYear","SDG_theme","ancillary","classification_type","indices","RS_spatital_resolution_m","model_group","Confusion_matrix","RS_device_group","RS_device_type","DOI","Publication.Year","number_classes","fraction_majority_class","total","OA_reported","globalCitationsCount","RS_spatital_res_grouped","esid","studyID","event"
"27",27,"Jochem et al. 2018","SDG 11: Sustainable Cities and Communities","1","Pixel-level","1","20","Tree-Based Models","1","Not Reported","Not Reported","10.1016/j.compenvurbsys.2018.01.004",2018,2,0.859,34740,0.899,39,"15-25",6,6,31231.26
"28",28,"Jochem et al. 2018","SDG 11: Sustainable Cities and Communities","1","Pixel-level","1","20","Tree-Based Models","1","Not Reported","Not Reported","10.1016/j.compenvurbsys.2018.01.004",2018,2,0.614,54162,0.903,39,"15-25",7,6,48908.286
"29",29,"Xia et al. 2022","SDG 11: Sustainable Cities and Communities","0","Object-level","1","30","Tree-Based Models","1","Landsat","Passive","10.1016/j.egyr.2022.03.039",2022,2,0.5,400,0.928,38,"30",1,20,371.2
"30",30,"Xia et al. 2022","SDG 11: Sustainable Cities and Communities","0","Object-level","1","30","Tree-Based Models","1","Landsat","Passive","10.1016/j.egyr.2022.03.039",2022,2,0.5,400,0.918,38,"30",2,20,367.2
"31",31,"Li et al. 2022","SDG 15: Life on Land","0","Object-level","0","10","Neural Networks","0","Sentinel","Passive","10.1016/j.jag.2022.102804",2022,12,0.141666666666667,1200,0.73,9,"10",1,7,876
"32",32,"Li et al. 2022","SDG 15: Life on Land","1","Object-level","0","10","Neural Networks","0","Sentinel","Passive","10.1016/j.jag.2022.102804",2022,12,0.141666666666667,1200,0.7483,9,"10",2,7,897.96
"33",33,"Jia et al. 2023","SDG 15: Life on Land","0","Object-level","1","10","Tree-Based Models","0","Sentinel","Passive","10.1016/j.scib.2023.05.004",2023,2,0.735145886975728,81947,0.952,68,"10",1,5,78013.544
"34",34,"Priyanka et al. 2023","SDG 15: Life on Land","0","Pixel-level","0","Not Reported","Tree-Based Models","1","Other","Active","10.1016/j.rsase.2023.100924",2023,5,0.280734895850747,59818,0.6504,4,"Not Reported",1,13,38905.6272
"35",35,"Priyanka et al. 2023","SDG 15: Life on Land","0","Pixel-level","0","Not Reported","Tree-Based Models","1","Other","Active","10.1016/j.rsase.2023.100924",2023,5,0.488933097061085,59818,0.7056,4,"Not Reported",2,13,42207.5808
"36",36,"Priyanka et al. 2023","SDG 15: Life on Land","0","Pixel-level","0","Not Reported","Tree-Based Models","1","Other","Active","10.1016/j.rsase.2023.100924",2023,5,0.264903540740245,59818,0.6883,4,"Not Reported",3,13,41172.7294
"37",37,"Priyanka et al. 2023","SDG 15: Life on Land","0","Pixel-level","0","Not Reported","Tree-Based Models","1","Other","Active","10.1016/j.rsase.2023.100924",2023,5,0.278227289444649,59818,0.7014,4,"Not Reported",4,13,41956.3452
"38",38,"Priyanka et al. 2023","SDG 15: Life on Land","0","Pixel-level","0","Not Reported","Tree-Based Models","1","Other","Active","10.1016/j.rsase.2023.100924",2023,5,0.280734895850747,59818,0.673,4,"Not Reported",5,13,40257.514
"39",39,"Priyanka et al. 2023","SDG 15: Life on Land","0","Pixel-level","0","Not Reported","Tree-Based Models","1","Other","Active","10.1016/j.rsase.2023.100924",2023,5,0.298070814804908,59818,0.7072,4,"Not Reported",6,13,42303.2896
"40",40,"Priyanka et al. 2023","SDG 15: Life on Land","0","Pixel-level","0","Not Reported","Tree-Based Models","1","Other","Active","10.1016/j.rsase.2023.100924",2023,5,0.293456819017687,59818,0.7005,4,"Not Reported",7,13,41902.509
"41",41,"Wang et al. 2023","SDG 15: Life on Land","1","Object-level","1","10","Tree-Based Models","0","Sentinel","Combined","10.1016/j.rse.2023.113793",2023,13,0.710651142733937,41742,0.8874,12,"10",1,19,37041.8508
"42",42,"Al-Dousari et al. 2023","SDG 11: Sustainable Cities and Communities","0","Object-level","0","Not Reported","Tree-Based Models",NA,"Sentinel","Passive","10.1016/j.ejrs.2023.05.003",2023,4,0.47,862,0.936,11,"Not Reported",1,3,806.832
"43",43,"Al-Dousari et al. 2023","SDG 11: Sustainable Cities and Communities","0","Object-level","0","Not Reported","Tree-Based Models",NA,"Sentinel","Passive","10.1016/j.ejrs.2023.05.003",2023,4,0.53,862,0.953,11,"Not Reported",2,3,821.486
